pos,corr_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,2,0,0,0,0,0.01819719997001812,,0.011736100015696138,0.01819719997001812,1.0118564000003971,1.0118564000003971,1.0118564000003971,1.0118564000003971,1.0252401999896392,2.007897400006186,2.007897400006186,5.127594499965198,v,0,3.0050109999720007,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,0,1,1,1,5.1360066999914125,,5.130133299971931,5.1360066999914125,6.13768300000811,6.13768300000811,6.13768300000811,6.13768300000811,6.13768300000811,7.136551600007806,7.136551600007806,8.954577500000596,z,0,1.8159790000063367,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,0,2,2,2,8.971642499964219,,8.956414000014775,8.971642499964219,9.967979600012768,9.967979600012768,9.967979600012768,9.967979600012768,9.967979600012768,10.966975999996066,10.966975999996066,14.116378100006841,c,1,3.132480799977202,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,0,3,3,3,14.133947199967224,,14.118216399976518,14.133947199967224,15.130312799999956,15.130312799999956,15.130312799999956,15.130312799999956,15.130312799999956,16.12957990000723,16.12957990000723,20.960868099995423,x,0,4.814998599991668,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,1,0,4,0,20.978157399978954,,20.962634499999695,20.978157399978954,21.960825699963607,21.960825699963607,21.960825699963607,21.960825699963607,21.974759600008838,22.973806499969214,22.973806499969214,24.524734399979934,v,0,1.548891199985519,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,1,1,5,1,24.542311800003517,,24.52655309997499,24.542311800003517,25.541434000013396,25.541434000013396,25.541434000013396,25.541434000013396,25.55532400001539,26.537771800009068,26.537771800009068,28.204803599976003,z,0,1.6650415000040084,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,1,2,6,2,28.22209200001089,,28.206376899965107,28.22209200001089,29.20499140000902,29.20499140000902,29.20499140000902,29.20499140000902,29.2187918999698,30.217821199970786,30.217821199970786,33.185043499979656,c,1,2.9649233000236563,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,1,3,7,3,33.20171589998063,,33.18684169999324,33.20171589998063,34.198217099998146,34.198217099998146,34.198217099998146,34.198217099998146,34.198217099998146,35.19730729999719,35.19730729999719,36.714363100007176,x,0,1.5107024000026286,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,2,0,8,0,36.73202399996808,,36.71622289996594,36.73202399996808,37.71462519996567,37.71462519996567,37.71462519996567,37.71462519996567,37.728512900008354,38.72791909996886,38.72791909996886,40.144429499981925,v,0,1.4023209000006318,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,2,1,9,1,40.162534400005825,,40.14560769998934,40.162534400005825,41.14526019996265,41.14526019996265,41.14526019996265,41.14526019996265,41.159003800014034,42.15835839998908,42.15835839998908,43.44151699997019,z,0,1.2709382999455556,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
