pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.014195900002960116,,0.007947799982503057,0.014195900002960116,1.0111249000183307,1.0111249000183307,1.0111249000183307,1.0111249000183307,1.0246724000317045,2.0073755999910645,2.0073755999910645,5.612800800008699,v,0,3.5875956999952905,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,0,1,1,1,,,,,5.623613499978092,,5.615332800021861,5.623613499978092,6.620257100032177,6.620257100032177,6.620257100032177,6.620257100032177,6.620257100032177,7.619281799998134,7.619281799998134,9.070120299991686,z,0,1.442889700003434,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,0,2,2,2,,,,,9.087703299999703,,9.071949500008486,9.087703299999703,10.086873700027354,10.086873700027354,10.086873700027354,10.086873700027354,10.100792500015814,11.083319300028961,11.083319300028961,12.300859800016042,c,1,1.214592200005427,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,0,3,3,3,,,,,12.317588000034448,,12.302664200018626,12.317588000034448,13.314690999977756,13.314690999977756,13.314690999977756,13.314690999977756,13.314690999977756,14.313691099989228,14.313691099989228,14.682221800030675,x,0,0.3598437000182457,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,1,0,4,0,,,,,14.699630399991293,,14.684719100012444,14.699630399991293,15.696170900017023,15.696170900017023,15.696170900017023,15.696170900017023,15.696170900017023,16.69536790001439,16.69536790001439,18.845519200025592,v,0,2.1362204999895766,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,1,1,5,1,,,,,18.862666000030003,,18.84780679998221,18.862666000030003,19.859417100029532,19.859417100029532,19.859417100029532,19.859417100029532,19.859417100029532,20.858562399982475,20.858562399982475,21.542687500012107,z,0,0.6727890999754891,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,1,2,6,2,,,,,21.560319299984258,,21.544654300028924,21.560319299984258,22.543370400031563,22.543370400031563,22.543370400031563,22.543370400031563,22.557081100007053,23.55622070003301,23.55622070003301,24.506700800033286,c,1,0.937946500023827,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,1,3,7,3,,,,,24.524448000011034,,24.50869089999469,24.524448000011034,25.507196100021247,25.507196100021247,25.507196100021247,25.507196100021247,25.521519500005525,26.52050570002757,26.52050570002757,27.321127499977592,x,0,0.7892437999835238,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,2,0,8,0,,,,,27.33880389999831,,27.322829800017644,27.33880389999831,28.321811700006947,28.321811700006947,28.321811700006947,28.321811700006947,28.33606330002658,29.33510650001699,29.33510650001699,29.669792799977586,v,0,0.32898990000830963,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,2,1,9,1,,,,,29.687207799986936,,29.671503100020345,29.687207799986936,30.68405929999426,30.68405929999426,30.68405929999426,30.68405929999426,30.68405929999426,31.68306329997722,31.68306329997722,32.01740680000512,z,0,0.3223291999893263,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
