pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.016729200026020408,,0.01001839991658926,0.016729200026020408,0.9997839999850839,0.9997839999850839,0.9997839999850839,0.9997839999850839,1.013364400016144,2.0125871999189258,2.0125871999189258,3.497413699980825,c,0,1.4626713999314234,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,0,1,1,1,,,,,3.5128460000269115,,3.5012891999213025,3.5128460000269115,4.510522399912588,4.510522399912588,4.510522399912588,4.510522399912588,4.510522399912588,5.509666100027971,5.509666100027971,7.892244899994694,v,1,2.3755890999455005,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,0,2,2,2,,,,,7.910488500026986,,7.893885899917223,7.910488500026986,8.893069899990223,8.893069899990223,8.893069899990223,8.893069899990223,8.906808299943805,9.906038300017826,9.906038300017826,12.02239139995072,x,0,2.0997307000216097,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,0,3,3,3,,,,,12.040513599989936,,12.02425359992776,12.040513599989936,13.022702599992044,13.022702599992044,13.022702599992044,13.022702599992044,13.053525399998762,14.035972399986349,14.035972399986349,15.286760699935257,z,1,1.2458136000204831,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,1,0,4,0,,,,,15.304321900010109,,15.288556099985726,15.304321900010109,16.30076269991696,16.30076269991696,16.30076269991696,16.30076269991696,16.30076269991696,17.300128599978052,17.300128599978052,18.867197999963537,c,0,1.5599615999963135,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,1,1,5,1,,,,,18.884793899953365,,18.86914099997375,18.884793899953365,19.881383599946275,19.881383599946275,19.881383599946275,19.881383599946275,19.881383599946275,20.880448499927297,20.880448499927297,22.963488499983214,v,1,2.0779749000212178,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,1,2,6,2,,,,,22.98123279993888,,22.965310900006443,22.98123279993888,23.963724299916066,23.963724299916066,23.963724299916066,23.963724299916066,23.978015100001357,24.97699689993169,24.97699689993169,27.72629539994523,x,0,2.732022100011818,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,1,3,7,3,,,,,27.744156599976122,,27.72836449998431,27.744156599976122,28.72675139992498,28.72675139992498,28.72675139992498,28.72675139992498,28.740594599978067,29.739715999923646,29.739715999923646,31.24110819993075,z,1,1.4991692999610677,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,2,0,8,0,,,,,31.25770710001234,,31.243112699943595,31.25770710001234,32.25418940000236,32.25418940000236,32.25418940000236,32.25418940000236,32.25418940000236,33.25337379996199,33.25337379996199,34.60374079993926,c,0,1.3376405000453815,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,2,1,9,1,,,,,34.62188430002425,,34.605610999977216,34.62188430002425,35.60440079995897,35.60440079995897,35.60440079995897,35.60440079995897,35.618263299926184,36.61730129993521,36.61730129993521,38.884072899934836,v,1,2.2504394999705255,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
