trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.006267899996601045,,0.003736299986485392,0.006267899996601045,1.0095016999985091,1.0167182000004686,1.2336261000018567,up,0,0.12472439999692142,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
1,0,1,0,1.2377906999900006,,1.2353654999751598,1.2377906999900006,2.248844799993094,2.248844799993094,2.683827199973166,up,1,0.42701399995712563,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
2,0,2,0,2.6985674999887124,,2.689698199974373,2.6985674999887124,3.697794799983967,3.697794799983967,4.631549999990966,down,1,0.9266437000478618,None,4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
3,0,3,0,4.646816199994646,,4.63473549997434,4.646816199994646,5.646065099979751,5.646065099979751,6.1805213000043295,up,0,0.5281229999964125,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
4,0,4,0,6.195613499963656,,6.184296699997503,6.195613499963656,7.194798999989871,7.194798999989871,7.845696499978658,down,1,0.6389113999903202,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
5,0,5,0,7.861147299990989,,7.84925289999228,7.861147299990989,8.860179500014056,8.860179500014056,9.361168599978555,up,1,0.492337400035467,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
6,0,6,0,9.376415700011421,,9.364473699999508,9.376415700011421,10.375613500014879,10.375613500014879,10.942909799981862,up,1,0.5597800999530591,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
7,0,7,0,10.958418899972457,,10.94605650001904,10.958418899972457,11.95764739997685,11.95764739997685,12.45864620001521,up,1,0.4940833000000566,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
8,0,8,0,12.473864500003401,,12.461915399995632,12.473864500003401,13.473010999965481,13.473010999965481,13.97406169999158,up,1,0.4947297999751754,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
9,0,9,0,13.98912109999219,,13.977230000018608,13.98912109999219,14.98839680000674,14.98839680000674,15.406113300006837,up,1,0.4050725999986753,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
10,0,10,0,15.421572599967476,,15.409706700011156,15.421572599967476,16.420683400006965,16.437300499994308,16.971538399986457,down,1,0.5350502000073902,None,-4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
11,0,11,0,16.986800400016364,,16.975202600006014,16.986800400016364,17.986006399965845,17.986006399965845,18.470186899998225,up,0,0.4676477000466548,None,-4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
12,0,12,0,18.48562900000252,,18.473520700004883,18.48562900000252,19.4848420000053,19.4848420000053,20.235565299983136,down,1,0.7432700999779627,None,-4,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
13,0,13,0,20.250789000012446,,20.23926629999187,20.250789000012446,21.25001409999095,21.25001409999095,22.21718569996301,up,0,0.9564930000342429,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
14,0,14,0,22.232331099978182,,22.220697599987034,22.232331099978182,23.231635099975392,23.231635099975392,23.88249629997881,up,0,0.6336022000177763,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
15,0,15,0,23.897716599982232,,23.887743400002364,23.897716599982232,24.897082399984356,24.897082399984356,25.51441399997566,down,1,0.6049382000346668,None,-5,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
16,0,16,0,25.529778399970382,,25.517528800002765,25.529778399970382,26.528698900016025,26.545549399976153,27.87881979998201,up,1,1.333422800002154,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
17,0,17,0,27.894582799985074,,27.881992499984335,27.894582799985074,28.893946299969684,28.910449699964374,29.56179459998384,up,0,0.6660622999770567,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
18,0,18,0,29.576480599993374,,29.5651358999894,29.576480599993374,30.575552099966444,30.575552099966444,31.376246400002856,up,0,0.784110700013116,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
19,0,19,0,31.39158379996661,,31.379507399979047,31.39158379996661,32.3908430999727,32.3908430999727,32.84186539996881,up,1,0.44061729998793453,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
20,0,20,0,32.85697799996706,,32.84719459997723,32.85697799996706,33.856268399977125,33.856268399977125,34.29061530000763,up,1,0.4203587000374682,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
21,0,21,0,34.30593540001428,,34.293919799965806,34.30593540001428,35.30529819999356,35.30529819999356,35.7060455000028,up,1,0.3837263000314124,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
