trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.0168914,,0.0130893,0.0168914,1.0209629,1.0248582,5.282803,down,1,4.2365392,None,2,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
1,0,1,0,5.2907196,,5.2856568,5.2907196,6.2862529,6.3029683,6.9211834,up,1,0.6262505,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
2,0,2,0,6.9354791,,6.9231482,6.9354791,7.9349592,7.9349592,8.4361598,up,1,0.4854551,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
3,0,3,0,8.4510345,,8.4376301,8.4510345,9.4503204,9.4503204,10.1517151,up,1,0.6860524,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
4,0,4,0,10.1661379,,10.1536829,10.1661379,11.1654771,11.1654771,11.7671514,up,1,0.5954602,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
5,0,5,0,11.7817487,,11.7690657,11.7817487,12.7810924,12.7810924,13.6821842,up,1,0.886322,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
6,0,6,0,13.6966353,,13.6841632,13.6966353,14.695976,14.695976,15.5474308,down,1,0.8359499,None,-4,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
7,0,7,0,15.5615898,,15.5492989,15.5615898,16.5611149,16.5611149,17.2472035,down,0,0.6824213,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
8,0,8,0,17.2602777,,17.2498036,17.2602777,18.2597235,18.2597235,18.87784,down,1,0.6074733,None,-5,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
9,0,9,0,18.8924732,,18.8794737,18.8924732,19.8917105,19.8917105,20.8268448,up,1,0.9285682,None,0,794049,1,2024-09-13_12h10.54.095,Signal Detection,2024.1.5,None,2024-09-13 12h11.02.621847 +0530
