trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.008952399948611856,,0.005291499954182655,0.008952399948611856,1.0186320999637246,1.0186320999637246,1.877786599972751,up,1,0.7715929999831133,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
1,0,1,0,1.8851795999798924,,1.8810817999765277,1.8851795999798924,2.8944926999974996,2.8944926999974996,3.428064599982463,up,1,0.5197759000002407,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
2,0,2,0,3.443989599996712,,3.4302460000035353,3.443989599996712,4.459873299987521,4.443417500006035,4.893655299965758,up,1,0.4343753000139259,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
3,0,3,0,4.909374699986074,,4.89582109998446,4.909374699986074,5.9085592000046745,5.9085592000046745,6.425703599990811,up,1,0.5098172000143677,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
4,0,4,0,6.441478699969593,,6.427281099953689,6.441478699969593,7.44092029996682,7.44092029996682,8.041603799967561,down,1,0.5899517000070773,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
5,0,5,0,8.056899399962276,,8.04383699997561,8.056899399962276,9.05627000000095,9.05627000000095,9.623761900002137,up,1,0.5561067000380717,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
6,0,6,0,9.639046799973585,,9.626661199959926,9.639046799973585,10.654686899972148,10.638038899982348,11.305693999980576,up,1,0.6528885999578051,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
7,0,7,0,11.320858099963516,,11.308614199981093,11.320858099963516,12.320290499948896,12.320290499948896,12.871096899965778,up,1,0.5412750000250526,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
8,0,8,0,12.886452799953986,,12.874276999966241,12.886452799953986,13.901998699991964,13.885409299982712,14.319351399957668,up,1,0.4236551999929361,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
9,0,9,0,14.335011599992868,,14.321670799981803,14.335011599992868,15.334211399953347,15.334211399953347,15.752147599996533,up,1,0.41046149999601766,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
10,0,10,0,15.767377099953592,,15.755397000000812,15.767377099953592,16.766624699987005,16.766624699987005,17.23417359997984,up,0,0.45631560002220795,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
11,0,11,0,17.24955189996399,,17.23702429997502,17.24955189996399,18.248593600001186,18.248593600001186,18.73269909998635,up,0,0.4683426999836229,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
12,0,12,0,18.748156199988443,,18.735470699961297,18.748156199988443,19.747287799953483,19.747287799953483,20.315096499980427,up,1,0.5580593000049703,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
13,0,13,0,20.33033639995847,,20.317970099975355,20.33033639995847,21.345911199983675,21.32937910000328,21.86355619999813,down,1,0.5236767000169493,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
14,0,14,0,21.87908059998881,,21.86646449996624,21.87908059998881,22.894668900000397,22.878138899977785,23.49551189999329,up,1,0.6049548999872059,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
15,0,15,0,23.510992900002748,,23.49862489994848,23.510992900002748,24.526725899951998,24.51009369996609,25.144183999975212,up,0,0.6281593999592587,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
16,0,16,0,25.159570699965116,,25.147072299965657,25.159570699965116,26.1587748999591,26.1587748999591,26.643001599994022,down,1,0.468836999963969,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
17,0,17,0,26.65843509999104,,26.64587989996653,26.65843509999104,27.6744086999679,27.65756879997207,28.375232199963648,up,1,0.7104784999974072,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
18,0,18,0,28.390113699948415,,28.37816559994826,28.390113699948415,29.389536899980158,29.389536899980158,29.973609399981797,up,0,0.5805008999886923,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
19,0,19,0,29.988985100004356,,29.97651919996133,29.988985100004356,30.988146899966523,30.988146899966523,31.53825829998823,up,1,0.5378526000422426,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
20,0,20,0,31.554062799958047,,31.540478099952452,31.554062799958047,32.55357889999868,32.55357889999868,32.97077019995777,down,1,0.40943739999784157,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
21,0,21,0,32.98617479996756,,32.973355899972375,32.98617479996756,33.98576729994966,33.98576729994966,34.67012279998744,down,0,0.6672932000365108,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
22,0,22,0,34.68498239998007,,34.67510529997526,34.68498239998007,35.70077749999473,35.68407659995137,36.13536339998245,up,1,0.44806560000870377,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
23,0,23,0,36.15051710000262,,36.138304199965205,36.15051710000262,37.14985220000381,37.14985220000381,37.75076500000432,down,1,0.5953106000088155,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
24,0,24,0,37.76593090000097,,37.75369309994858,37.76593090000097,38.765074599999934,38.765074599999934,39.56500760000199,down,1,0.7912952000042424,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
25,0,25,0,39.58066979999421,,39.56709209998371,39.58066979999421,40.580369999981485,40.580369999981485,41.197720399999525,up,1,0.6046699999715202,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
26,0,26,0,41.21284150000429,,41.200630499981344,41.21284150000429,42.21245219995035,42.21245219995035,42.880026899976656,down,1,0.656230200023856,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
27,0,27,0,42.89498879999155,,42.882724899973255,42.89498879999155,43.894166499958374,43.894166499958374,44.49541259999387,up,0,0.5991075999918394,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
28,0,28,0,44.510504100006074,,44.49837769998703,44.510504100006074,45.509574299969245,45.509574299969245,46.027151499991305,down,0,0.507825100037735,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
29,0,29,0,46.04254229995422,,46.030044099956285,46.04254229995422,47.058294099988416,47.04182209999999,47.62570549995871,up,1,0.5711145999957807,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
30,0,30,0,47.64111839997349,,47.628633499960415,47.64111839997349,48.640273299999535,48.640273299999535,49.15784379997058,up,0,0.5060764999943785,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
31,0,31,0,49.173201599973254,,49.160770699963905,49.173201599973254,50.172400999988895,50.172400999988895,50.72304859996075,down,0,0.5397250999812968,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
32,0,32,0,50.73870759998681,,50.72598049999215,50.73870759998681,51.75442179996753,51.73776859999634,52.305216099950485,up,1,0.5625343999709003,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
33,0,33,0,52.32042449997971,,52.30813839996699,52.32042449997971,53.31977119995281,53.31977119995281,53.83777349995216,down,1,0.5158095000078902,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
34,0,34,0,53.85263159999158,,53.840727199974936,53.85263159999158,54.85194019996561,54.85194019996561,55.33613349997904,up,1,0.47773100004997104,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
35,0,35,0,55.35142039996572,,55.33911589998752,55.35142039996572,56.35072539997054,56.35072539997054,56.768441499967594,up,0,0.412465900008101,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
36,0,36,0,56.78355359996203,,56.77156699995976,56.78355359996203,57.78278639999917,57.78278639999917,58.267672699992545,up,1,0.4826470999978483,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
37,0,37,0,58.28239779995056,,58.270624800003134,58.28239779995056,59.29827239998849,59.2816856999998,59.799059199984185,down,1,0.5050213999929838,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
38,0,38,0,59.8142525999574,,59.802322199975606,59.8142525999574,60.81352879997576,60.81352879997576,61.314250399998855,down,0,0.4884143999661319,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
39,0,39,0,61.32989999995334,,61.31720619997941,61.32989999995334,62.32922089996282,62.32922089996282,62.813746300002094,down,1,0.48289980000117794,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
40,0,40,0,62.82857699994929,,62.81665130000329,62.82857699994929,63.82790549995843,63.82790549995843,64.64593149995198,down,0,0.8161856000078842,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
41,0,41,0,64.66041049995692,,64.64921879995381,64.66041049995692,65.65958079998381,65.65958079998381,66.41061399999307,down,1,0.7398066999739967,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
42,0,42,0,66.4256003999617,,66.41407040000195,66.4256003999617,67.4248324999935,67.4248324999935,68.12561029999051,down,1,0.6852836000034586,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
43,0,43,0,68.14095289999386,,68.12861689995043,68.14095289999386,69.14031629997771,69.14031629997771,69.7575423999806,up,0,0.6072832000209019,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
44,0,44,0,69.77295829996001,,69.76212879997911,69.77295829996001,70.77212569996482,70.77212569996482,71.1730133999954,up,1,0.39418529998511076,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
45,0,45,0,71.18833969999105,,71.17588860000251,71.18833969999105,72.187591599999,72.187591599999,72.62188649998279,up,1,0.4222271000035107,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
46,0,46,0,72.63735330000054,,72.62476959999185,72.63735330000054,73.65309419995174,73.6363717999775,74.07091249997029,up,1,0.42637030000332743,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
47,0,47,0,74.08597049996024,,74.07381879998138,74.08597049996024,75.08521479996853,75.08521479996853,75.50280419999035,up,0,0.40909189998637885,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
48,0,48,0,75.5183415999636,,75.5057558999979,75.5183415999636,76.5173576999805,76.5173576999805,76.95198969997,up,1,0.4319338999921456,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
49,0,49,0,76.9670348999789,,76.95493419998093,76.9670348999789,77.98301829997217,77.96625469997525,78.34984359994996,up,1,0.3744025999912992,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
