image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002323500346392393,0.007376500405371189,0.007376500405371189,15.841775000095367,space,15.816780100110918,None,,,,,,,,,,,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitch 2,120,right,0,0,0,13,15.886323400307447,,,,,,,,,15.858556000050157,15.886323400307447,15.886323400307447,16.39344990020618,16.88473440008238,20.592131500132382,right,1,4.701185800135136,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
google 2,40,right,0,1,1,9,20.617339299991727,,,,,,,,,20.596477800048888,20.617339299991727,20.617339299991727,21.122870800085366,21.606185200158507,22.55675690015778,right,1,1.9265521001070738,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
CN 1,100,left,0,2,2,5,22.58242080034688,,,,,,,,,22.55782310012728,22.58242080034688,22.58242080034688,23.087821900378913,23.57104520034045,24.439137500245124,right,0,1.8541057002730668,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
adidas 2,0,right,0,3,3,7,24.464074600022286,,,,,,,,,24.440355900209397,24.464074600022286,24.464074600022286,24.969706300180405,25.45299700042233,26.870982700027525,left,0,2.4040752998553216,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitch 1,120,left,0,4,4,6,26.897832000162452,,,,,,,,,26.87194270035252,26.897832000162452,26.897832000162452,27.400921900290996,27.88431900041178,28.535147299990058,left,1,1.6229682001285255,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
ig 1,80,left,0,5,5,4,28.560191500000656,,,,,,,,,28.536186300218105,28.560191500000656,28.560191500000656,29.066308400128037,29.549455700442195,30.217708399984986,left,1,1.651009100023657,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
fb 2,20,right,0,6,6,8,30.25132550019771,,,,,,,,,30.21877170028165,30.25132550019771,30.25132550019771,30.764830500353128,31.231635000091046,31.915762200020254,right,1,1.6582981999963522,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitter 1,60,left,0,7,7,3,31.94206150015816,,,,,,,,,31.916790700051934,31.94206150015816,31.94206150015816,32.44675820041448,32.929942100308836,33.44786200020462,right,0,1.4971341998316348,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
adidas 1,0,left,0,8,8,0,33.468529500067234,,,,,,,,,33.44890570035204,33.468529500067234,33.468529500067234,33.97895200038329,34.46202420024201,35.24657640000805,left,1,1.7687166999094188,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
fb 1,20,left,0,9,9,1,35.274775200057775,,,,,,,,,35.24832420004532,35.274775200057775,35.274775200057775,35.7775374003686,36.2606498003006,36.745799800381064,right,0,1.4598059998825192,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
CN 2,100,right,0,10,10,12,36.76711090002209,,,,,,,,,36.74726720014587,36.76711090002209,36.76711090002209,37.2760918000713,37.759475300088525,38.11102560022846,left,0,1.3385896002873778,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitter 2,60,right,0,11,11,10,38.13484890013933,,,,,,,,,38.11263080034405,38.13484890013933,38.13484890013933,38.64188630040735,39.124809600412846,39.49328380031511,right,1,1.3534473003819585,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
google 1,40,left,0,12,12,2,39.520825900137424,,,,,,,,,39.49453590018675,39.520825900137424,39.520825900137424,40.023737700190395,40.507197100203484,40.90827740030363,left,1,1.3709423001855612,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
ig 2,80,right,0,13,13,11,40.93002080032602,,,,,,,,,40.90979760000482,40.93002080032602,40.93002080032602,41.439301600214094,41.92248100042343,42.44048560038209,right,1,1.4987197001464665,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
CN 2,100,right,1,0,14,12,42.45878140022978,,,,,,,,,42.44152680039406,42.45878140022978,42.45878140022978,42.971401600167155,43.45472430018708,43.906212200410664,right,1,1.43699000030756,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
google 2,40,right,1,1,15,9,43.927241099998355,,,,,,,,,43.90723400004208,43.927241099998355,43.927241099998355,44.43684650026262,44.92019660025835,45.30487420037389,right,1,1.3710976000875235,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitter 2,60,right,1,2,16,10,45.325250800233334,,,,,,,,,45.30654720030725,45.325250800233334,45.325250800233334,45.83569960016757,46.31890750024468,46.70387480035424,right,1,1.3632249999791384,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
ig 1,80,left,1,3,17,4,46.72580680018291,,,,,,,,,46.704969900194556,46.72580680018291,46.72580680018291,47.23461340041831,47.71767290029675,48.086130200419575,right,0,1.3528619999997318,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
google 1,40,left,1,4,18,2,48.11167770018801,,,,,,,,,48.08727430040017,48.11167770018801,48.11167770018801,48.61688670003787,49.100172500126064,49.45189130026847,right,0,1.3326069000177085,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
twitch 1,120,left,1,5,19,6,49.47591680008918,,,,,,,,,49.453092500101775,49.47591680008918,49.47591680008918,49.98219410004094,50.46553610032424,50.850336300209165,right,0,1.3674335000105202,None,050446,001,2024-12-04_13h11.50.909,Mental Rotation,2024.1.5,None,2024-12-04 13h12.07.743701 +0530,
