image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,thanks.started,thankyou.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0020006997510790825,0.005904399789869785,0.005904399789869785,21.69247239967808,space,21.665292599704117,None,,,,,,,,,,,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
ig 2,80,right,0,0,0,11,21.733730599749833,,,,,,,,,21.710777000058442,21.733730599749833,21.733730599749833,22.243979400023818,22.716487600002438,23.84445669967681,right,1,2.1077338000759482,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitch 1,0,left,0,1,1,6,23.87659059977159,,,,,,,,,23.848513700067997,23.87659059977159,23.87659059977159,24.375238799955696,24.858693399932235,26.109363900031894,left,1,2.21944999974221,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
ig 1,0,left,0,2,2,4,26.137345399707556,,,,,,,,,26.1103820996359,26.137345399707556,26.137345399707556,26.64013349963352,27.123424999881536,28.007573599927127,left,1,1.8532334002666175,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
UF 3,90,right,0,3,3,16,28.03351099975407,,,,,,,,,28.00863859988749,28.03351099975407,28.03351099975407,28.538602499756962,29.02188179967925,31.288335099816322,left,0,3.2492817998863757,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
UF 1,0,left,0,4,4,14,31.31451619975269,,,,,,,,,31.289901599753648,31.31451619975269,31.31451619975269,31.819072699639946,32.30263300007209,34.919003599788994,right,0,3.6005116002634168,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
CN 1,0,left,0,5,5,5,34.942456299904734,,,,,,,,,34.92007019976154,34.942456299904734,34.942456299904734,35.44968209974468,35.93297369964421,37.53303089970723,left,1,2.574855299666524,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
UF 4,10,right,0,6,6,17,37.55633329972625,,,,,,,,,37.53448019968346,37.55633329972625,37.55633329972625,38.063853399828076,38.54753729980439,39.48191409977153,right,1,1.90984410000965,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
CN 2,100,right,0,7,7,12,39.50300069991499,,,,,,,,,39.48347939969972,39.50300069991499,39.50300069991499,40.012374099809676,40.495741500053555,41.42975750006735,left,0,1.9222173001617193,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
fb 2,20,right,0,8,8,8,41.45464110001922,,,,,,,,,41.430814599618316,41.45464110001922,41.45464110001922,41.960772699676454,42.44415679993108,42.97854719962925,right,1,1.5175196998752654,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitter 1,0,left,0,9,9,3,43.00594080006704,,,,,,,,,42.97958990000188,43.00594080006704,43.00594080006704,43.509512399788946,43.992815599776804,44.61049349978566,left,1,1.589855299796909,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
UF 2,140,right,0,10,10,15,44.63880389975384,,,,,,,,,44.61152969999239,44.63880389975384,44.63880389975384,45.14160929992795,45.6249199998565,47.108937699813396,right,1,2.4643799997866154,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitter 2,60,right,0,11,11,10,47.13179760007188,,,,,,,,,47.11011979961768,47.13179760007188,47.13179760007188,47.63944709999487,48.12266919994727,48.70697239972651,right,1,1.562974600121379,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitch 2,120,right,0,12,12,13,48.73083749972284,,,,,,,,,48.70803859969601,48.73083749972284,48.73083749972284,49.23814719961956,49.721356600057334,50.156718199606985,right,1,1.4227211000397801,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
adidas 2,0,right,0,13,13,7,50.179374400060624,,,,,,,,,50.15782209997997,50.179374400060624,50.179374400060624,50.68690689979121,51.17030009999871,51.78811019985005,left,0,1.594784699846059,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
google 2,40,right,0,14,14,9,51.8116882997565,,,,,,,,,51.78925699973479,51.8116882997565,51.8116882997565,52.31880709994584,52.80219789966941,53.454338300041854,right,1,1.6402686000801623,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
fb 1,0,left,0,15,15,1,53.48303260002285,,,,,,,,,53.4557853997685,53.48303260002285,53.48303260002285,53.984286199789494,54.46763079985976,55.368321399670094,left,1,1.880161200184375,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
adidas 1,0,left,0,16,16,0,55.38964159972966,,,,,,,,,55.3693673000671,55.38964159972966,55.38964159972966,55.89933109981939,56.382611699867994,56.88358709961176,right,0,1.4845930999144912,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
google 1,0,left,0,17,17,2,56.910061799921095,,,,,,,,,56.884663600008935,56.910061799921095,56.910061799921095,57.41472060000524,57.89770739991218,58.46604879992083,left,1,1.5453501995652914,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitch 1,0,left,1,0,18,6,58.49558679992333,,,,,,,,,58.467131400015205,58.49558679992333,58.49558679992333,58.99656459968537,59.48003559978679,59.86461449973285,left,1,1.363333800341934,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
google 1,0,left,1,1,19,2,59.889051099773496,,,,,,,,,59.86562709975988,59.889051099773496,59.889051099773496,60.39544179989025,60.878950299695134,61.66391129978001,left,1,1.7726480001583695,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
twitter 1,0,left,1,2,20,3,61.68141909968108,,,,,,,,,61.665304800029844,61.68141909968108,61.68141909968108,62.19398600002751,62.6774261998944,63.7280914997682,left,1,2.04029620019719,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
ig 2,80,right,1,3,21,11,63.748052899725735,,,,,,,,,63.729125999845564,63.748052899725735,63.748052899725735,64.25915519986302,64.74229109985754,66.79196109995246,right,1,3.0279870997183025,None,,,,1,001,2024-12-04_15h41.16.992,Mental Rotation,2024.1.5,None,2024-12-04 15h41.30.011627 +0530,
