image,orientation,corrAns,response.keys,response.corr,response.rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 4,10,right,right,1,5.1489712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 1,0,left,left,1,1.9599865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 1,0,left,left,1,1.6309225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 1,0,left,left,1,1.6394632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 2,20,right,right,1,1.8348522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 2,60,right,right,1,1.6985655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 2,120,right,right,1,1.6186312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 2,100,right,right,1,1.5289476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 1,0,left,left,1,1.4735059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 2,40,right,left,0,1.9140332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 2,0,right,left,0,2.0656147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 2,80,right,right,1,1.4699993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 1,0,left,left,1,3.9731836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 2,140,right,right,1,2.4532841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3,90,right,left,0,2.5153914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 1,0,left,right,0,1.6779618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 1,0,left,left,1,1.7298893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 1,0,left,right,0,1.4016814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 1,0,left,left,1,1.6966062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 1,0,left,left,1,1.3559131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 1,0,left,left,1,1.3993773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 2,40,right,left,0,1.4606189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 2,20,right,right,1,1.5334624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 2,60,right,right,1,1.4275131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 4,10,right,right,1,1.6901701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
