image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,logos.stopped,trial.stopped,response.keys,response.corr,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0027491003274917603,0.007887599989771843,0.007887599989771843,4.587668800260872,space,4.566584500018507,None,,,,,,,,,,,,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
CN 1,100,left,0,0,0,5,4.62856990005821,,,,,,,,,4.607368600089103,4.62856990005821,4.62856990005821,5.142882999964058,5.6119943000376225,10.621807700023055,13.071379400324076,left,1,8.43546919990331,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitch 2,120,right,0,1,1,13,13.101225200109184,,,,,,,,,13.076042999979109,13.101225200109184,13.101225200109184,13.602751300204545,14.085914800409228,,15.76960220001638,left,0,2.6568149998784065,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitter 2,60,right,0,2,2,10,15.799841300118715,,,,,,,,,15.771289100404829,15.799841300118715,15.799841300118715,16.300272200256586,16.78385590016842,,17.70141850039363,right,1,1.884670099709183,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
fb 2,20,right,0,3,3,8,17.727626100182533,,,,,,,,,17.702877700328827,17.727626100182533,17.727626100182533,18.23205340001732,18.715525400359184,,19.216397400014102,left,0,1.484892699867487,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
CN 2,100,right,0,4,4,12,19.232874700333923,,,,,,,,,19.217508300207555,19.232874700333923,19.232874700333923,19.747408600058407,20.23057100037113,,20.7006892003119,right,1,1.4509593001566827,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
ig 2,80,right,0,5,5,11,20.716058200225234,,,,,,,,,20.701790200080723,20.716058200225234,20.716058200225234,21.22952410019934,21.71316110016778,,22.231517600361258,left,0,1.5129118002951145,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
google 2,40,right,0,6,6,9,22.25990980025381,,,,,,,,,22.23248470015824,22.25990980025381,22.25990980025381,22.761789800133556,23.24519050028175,,23.67952650040388,right,1,1.4049455001950264,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
adidas 2,0,right,0,7,7,7,23.702538200188428,,,,,,,,,23.680791300255805,23.702538200188428,23.702538200188428,24.210714800283313,24.693846800364554,,25.428374600131065,left,0,1.7139316000975668,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
ig 1,80,left,0,8,8,4,25.451327600050718,,,,,,,,,25.429346000310034,25.451327600050718,25.451327600050718,25.959153200034052,26.442397500388324,,26.92706060037017,right,0,1.4616388999857008,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
google 1,40,left,0,9,9,2,26.951864700298756,,,,,,,,,26.927999100182205,26.951864700298756,26.951864700298756,27.45791760040447,27.94125170027837,,28.476010400336236,left,1,1.5167557001113892,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
fb 1,20,left,0,10,10,1,28.504073900170624,,,,,,,,,28.476973600219935,28.504073900170624,28.504073900170624,29.00664300005883,29.490046500228345,,29.925210900139064,right,0,1.417892999947071,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
adidas 1,0,left,0,11,11,0,29.94663970032707,,,,,,,,,29.926147500053048,29.94663970032707,29.94663970032707,30.455411500297487,30.93880890030414,,31.523472600150853,left,1,1.571365499868989,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitter 1,60,left,0,12,12,3,31.548429200425744,,,,,,,,,31.524454100057483,31.548429200425744,31.548429200425744,32.05416140006855,32.53752310015261,,32.988677400164306,left,1,1.433101000264287,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitch 1,120,left,0,13,13,6,33.01489230012521,,,,,,,,,32.98965090001002,33.01489230012521,33.01489230012521,33.51957210013643,34.00285980012268,,34.3542308001779,right,0,1.3341442001983523,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitch 2,120,right,1,0,14,13,34.376278300303966,,,,,,,,,34.35519100027159,34.376278300303966,34.376278300303966,34.88511400017887,35.36820200039074,,36.2189301000908,right,1,1.8407184998504817,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
CN 2,100,right,1,1,15,12,36.23487230017781,,,,,,,,,36.21958000026643,36.23487230017781,36.23487230017781,36.75019730022177,37.233465900179,,37.70152910007164,left,0,1.4502469999715686,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
twitch 1,120,left,1,2,16,6,37.72490360029042,,,,,,,,,37.702472100034356,37.72490360029042,37.72490360029042,38.232349100057036,38.71550300018862,,39.06700280029327,right,0,1.338479199912399,None,367871,001,2024-12-04_01h20.05.552,Mental Rotation,2024.1.5,None,2024-12-04 01h20.15.424314 +0530,
