image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,thanks.started,thankyou.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0021266997791826725,0.005383200012147427,0.005383200012147427,4.553458499722183,space,4.5327677000314,None,,,,,,,,,,,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
CN 1,0,left,0,0,0,5,4.588856099639088,,,,,,,,,4.5691217998974025,4.588856099639088,4.588856099639088,5.093960899859667,5.5792372999712825,7.493913299869746,right,0,2.893988700117916,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitch 1,0,left,0,1,1,6,7.520334899891168,,,,,,,,,7.495493900030851,7.520334899891168,7.520334899891168,8.024678299669176,8.508110799826682,11.623862499836832,right,0,4.094855600036681,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
google 2,40,right,0,2,2,9,11.644461499992758,,,,,,,,,11.624946699943393,11.644461499992758,11.644461499992758,12.154842399992049,12.638238499872386,14.238374100066721,right,1,2.581965600140393,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
adidas 2,0,right,0,3,3,7,14.261575299780816,,,,,,,,,14.239397400058806,14.261575299780816,14.261575299780816,14.769236399792135,15.252636400051415,16.25368889980018,left,0,1.9867958999238908,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
ig 1,0,left,0,4,4,4,16.279252199921757,,,,,,,,,16.25513909989968,16.279252199921757,16.279252199921757,16.784252400044352,17.267528699710965,18.36838690005243,right,0,2.075319599825889,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitter 1,0,left,0,5,5,3,18.390536499675363,,,,,,,,,18.36958929989487,18.390536499675363,18.390536499675363,18.89928699983284,19.38255439978093,19.933506599627435,right,0,1.5368594001047313,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
CN 2,100,right,0,6,6,12,19.95472739962861,,,,,,,,,19.934558399952948,19.95472739962861,19.95472739962861,20.46449469961226,20.947935899719596,21.698919099755585,right,1,1.7383590997196734,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
fb 2,20,right,0,7,7,8,21.722504999954253,,,,,,,,,21.699906900059432,21.722504999954253,21.722504999954253,22.22997639980167,22.713116299826652,23.19757999991998,right,1,1.4627026002854109,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
google 1,0,left,0,8,8,2,23.229381899815053,,,,,,,,,23.19861129997298,23.229381899815053,23.229381899815053,23.72854259982705,24.21169209992513,24.729690900072455,right,0,1.494796899612993,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitch 2,120,right,0,9,9,13,24.750316999852657,,,,,,,,,24.730724799912423,24.750316999852657,24.750316999852657,25.260538199916482,25.74389679962769,26.228342999704182,right,1,1.4712982000783086,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitter 2,60,right,0,10,10,10,26.250868799630553,,,,,,,,,26.229568199720234,26.250868799630553,26.250868799630553,26.759232299868017,27.24264539964497,27.877653199713677,right,1,1.6131722000427544,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
adidas 1,0,left,0,11,11,0,27.898366899695247,,,,,,,,,27.879333399701864,27.898366899695247,27.898366899695247,28.40789659973234,28.891282099764794,29.808839600067586,left,1,1.9020076002925634,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
fb 1,0,left,0,12,12,1,29.835930400062352,,,,,,,,,29.810419699642807,29.835930400062352,29.835930400062352,30.339771299622953,30.823065899778157,31.407945199869573,left,1,1.5614493996836245,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
ig 2,80,right,0,13,13,11,31.427985799964517,,,,,,,,,31.409023699816316,31.427985799964517,31.427985799964517,31.93839649995789,32.42167449975386,33.03950920002535,left,0,1.6037758998572826,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitter 2,60,right,1,0,14,10,33.06192489992827,,,,,,,,,33.04054359998554,33.06192489992827,33.06192489992827,33.57043069973588,34.05363429989666,34.60471739992499,right,1,1.5314557002857327,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitch 2,120,right,1,1,15,13,34.63038899982348,,,,,,,,,34.60599619988352,34.63038899982348,34.63038899982348,35.13576139975339,35.619182999711484,36.15440639993176,left,0,1.5218504001386464,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitch 1,0,left,1,2,16,6,36.17862579971552,,,,,,,,,36.15550099965185,36.17862579971552,36.17862579971552,36.684532299637794,37.16787269990891,38.186315400060266,left,1,2.004495999775827,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
google 1,0,left,1,3,17,2,38.21036359993741,,,,,,,,,38.18754810001701,38.21036359993741,38.21036359993741,38.71624429989606,39.199371200054884,40.84960539964959,left,1,2.633240499999374,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
twitter 1,0,left,1,4,18,3,40.8735869997181,,,,,,,,,40.85067689977586,40.8735869997181,40.8735869997181,41.380688099656254,41.863988099619746,42.74820229969919,right,0,1.8620084002614021,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
adidas 2,0,right,1,5,19,7,42.76831109961495,,,,,,,,,42.74926789989695,42.76831109961495,42.76831109961495,43.27917249966413,43.76236899988726,44.76322939991951,left,0,1.9800612996332347,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
CN 1,0,left,1,6,20,5,44.78592239972204,,,,,,,,,44.764297700021416,44.78592239972204,44.78592239972204,45.293908099643886,45.777457599993795,46.72804979979992,left,1,1.9381531001999974,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
ig 2,80,right,1,7,21,11,46.74807129986584,,,,,,,,,46.729079300072044,46.74807129986584,46.74807129986584,47.259073100052774,47.74241749988869,48.25989899970591,left,0,1.5046891001984477,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
adidas 1,0,left,1,8,22,0,48.27556569967419,,,,,,,,,48.26105389976874,48.27556569967419,48.27556569967419,48.77466359967366,49.274567199870944,50.44189139967784,left,1,2.1500266999937594,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
ig 1,0,left,1,9,23,4,50.46364749968052,,,,,,,,,50.44303149962798,50.46364749968052,50.46364749968052,50.97269569989294,51.45595089998096,51.89162290003151,left,1,1.4257276998832822,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
fb 1,0,left,1,10,24,1,51.91776049975306,,,,,,,,,51.892677600029856,51.91776049975306,51.91776049975306,52.42157380003482,52.904815800022334,53.30590839963406,left,1,1.3739494998008013,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
CN 2,100,right,1,11,25,12,53.32786670001224,,,,,,,,,53.307013699784875,53.32786670001224,53.32786670001224,53.83704939996824,54.32030999986455,54.77145799994469,left,0,1.4267535000108182,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
google 2,40,right,1,12,26,9,54.79453549999744,,,,,,,,,54.77251229993999,54.79453549999744,54.79453549999744,55.30241649970412,55.78564619971439,56.21999099990353,right,1,1.4168591001071036,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
fb 2,20,right,1,13,27,8,56.23591949976981,,,,,,,,,56.220865099690855,56.23591949976981,56.23591949976981,56.75120829977095,57.23464239994064,57.685930700041354,right,1,1.435768200084567,None,,,,794370,001,2024-12-04_13h14.30.482,Mental Rotation,2024.1.5,None,2024-12-04 13h14.38.994167 +0530,
